File Name,Aspect Ratio
801.jpg,0.65
802.jpg,0.64
803.jpg,0.65
804.jpg,0.64
805.jpg,0.66
806.jpg,0.65
807.jpg,0.64
808.jpg,0.66
809.jpg,0.67
810.jpg,0.67
811.jpg,0.66
812.jpg,0.63
813.jpg,0.65
814.jpg,0.65
815.jpg,0.65
816.jpg,0.62
817.jpg,0.63
818.jpg,0.63
819.jpg,0.63
820.jpg,0.63
821.jpg,0.8
822.jpg,0.61
823.jpg,0.63
824.jpg,0.63
825.jpg,0.65
826.jpg,0.63
827.jpg,0.67
828.jpg,0.65
829.jpg,0.63
830.jpg,0.65
831.jpg,0.63
832.jpg,0.63
833.jpg,0.63
834.jpg,0.63
835.jpg,0.63
836.jpg,0.63
837.jpg,0.63
838.jpg,0.63
839.jpg,0.63
840.jpg,0.65
841.jpg,0.8
842.jpg,0.65
843.jpg,0.63
